      1499, -2.329149,  3.515812, -0.021446,  0.006538
      2999, -9.833258,  8.120494, -0.254728,  0.005235
      4499,  6.314354,  9.267609,  0.053902,  0.003313
      5999,  0.156897,  0.867006,  0.093799,  0.002310
      7499, -0.131336,  0.304206,  0.107986,  0.001901
      8999, -2.641576,  4.024779,  0.104147,  0.001614
     10499, -3.388837,  6.857545,  0.054183,  0.000964
     11999, 12.124885, 14.786832,  0.055565,  0.000734
     13499,  0.014348,  0.803686,  0.041966,  0.000600
     14999,  0.193984,  0.757983,  0.039258,  0.000463
     16499, 12.181599, 15.017078,  0.039065,  0.000405
     17999, -6.308454,  9.002370,  0.035043,  0.000376
     19499, -0.039623,  1.020680,  0.033606,  0.000330
     20999, -0.201580, 11.534462,  0.031723,  0.000288
     22499,  6.035998,  9.815904,  0.029161,  0.000249
     23999, 12.174931, 14.737588,  0.027815,  0.000229
